sample_id,state,district,crop,season,soil_type,rainfall_mm,temperature_c,humidity_percent,soil_moisture_percent,nitrogen,phosphorus,potassium,ph,ndvi,evi,latitude,longitude,area_hectare,yield_ton_per_hectare,crop_health_status
AGRI-0071,Haryana,D1,Sugarcane,Kharif,Sandy,1196.72,32.29,81.12,25.08,94.62,73.43,34.39,7.4,0.857,0.372,30.77122,70.20191,6.65,12.2,Healthy
AGRI-0072,Haryana,D3,Sugarcane,Kharif,Loam,1422.95,30.08,71.01,30.05,92.66,74.35,30.85,6.75,0.229,0.629,21.78988,81.39496,1.45,9.35,Moderate
AGRI-0073,Punjab,D1,Sugarcane,Rabi,Sandy,980.92,23.98,47.56,13.56,87.61,26.57,103.06,5.67,0.51,0.189,26.22377,83.58732,5.54,8.19,Poor
AGRI-0074,Haryana,D5,Cotton,Zaid,Black Soil,725.81,26.22,50.07,24.55,113.41,36.87,46.51,6.93,0.564,0.405,10.14838,82.51729,0.53,6.15,Moderate
AGRI-0075,Karnataka,D5,Rice,Kharif,Sandy,1063.31,22.35,52.32,18.45,72.83,20.74,70.57,6.43,0.245,0.488,19.82394,87.03768,1.32,5.72,Poor
AGRI-0076,Haryana,D2,Sugarcane,Kharif,Loam,425.28,37.32,41.42,35.29,115.75,15.93,140.68,6.37,0.444,0.41,29.62492,82.76293,3.13,9.14,Moderate
AGRI-0077,Maharashtra,D4,Wheat,Kharif,Alluvial,1337.14,20.61,50.02,28.71,59.54,89.37,79.41,7.83,0.402,0.634,29.04893,81.8642,1.13,6.87,Poor
AGRI-0078,Maharashtra,D1,Sugarcane,Kharif,Clay,481.32,25.44,46.52,29.83,121.94,62.45,148.2,6.43,0.555,0.694,9.12353,73.23486,6.84,9.93,Moderate
AGRI-0079,Rajasthan,D1,Cotton,Rabi,Silty,710.63,18.52,60.04,27.4,96.85,53.37,89.71,5.09,0.643,0.17,15.28876,86.49537,6.98,5.25,Moderate
AGRI-0080,Maharashtra,D3,Soybean,Rabi,Sandy,1247.32,22.44,84.96,46.42,48.29,71.24,75.84,5.2,0.672,0.178,18.63968,71.59088,6.17,6.46,Moderate
AGRI-0081,Rajasthan,D5,Wheat,Kharif,Loam,1007.04,33.61,40.75,19.73,82.05,77.21,125.05,8.0,0.276,0.178,12.13436,86.09793,2.32,6.39,Poor
AGRI-0082,Maharashtra,D1,Cotton,Zaid,Silty,783.0,22.02,74.61,30.6,78.63,74.54,30.24,8.36,0.749,0.509,25.51996,74.25325,4.42,5.58,Moderate
AGRI-0083,Karnataka,D5,Soybean,Kharif,Silty,870.78,19.6,72.8,38.5,35.17,11.32,32.53,7.41,0.655,0.324,12.42829,70.60327,1.88,5.43,Moderate
AGRI-0084,Madhya Pradesh,D1,Wheat,Zaid,Black Soil,1290.0,27.49,40.27,32.05,85.04,24.94,111.28,6.28,0.802,0.54,16.31935,84.53366,2.61,9.65,Healthy
AGRI-0085,Rajasthan,D2,Maize,Kharif,Silty,724.0,18.2,85.74,45.44,54.63,62.39,88.17,8.29,0.495,0.343,23.91874,68.04991,4.37,6.33,Moderate
AGRI-0086,Uttar Pradesh,D4,Rice,Zaid,Alluvial,1306.61,19.7,66.27,25.61,25.76,40.06,130.66,7.32,0.806,0.477,19.57014,84.64177,6.01,9.66,Moderate
AGRI-0087,Tamil Nadu,D1,Rice,Kharif,Loam,446.95,34.15,55.0,28.69,124.35,88.6,148.28,7.96,0.786,0.562,25.7257,73.24624,1.21,9.59,Moderate
AGRI-0088,Punjab,D5,Cotton,Zaid,Loam,1204.48,33.43,76.61,15.19,90.56,63.23,74.37,7.68,0.487,0.429,31.06899,85.69443,2.73,5.63,Poor
AGRI-0089,Maharashtra,D2,Soybean,Kharif,Sandy,1282.3,36.3,49.16,33.92,116.46,86.52,103.5,6.33,0.447,0.424,10.79712,81.82958,7.45,6.43,Moderate
AGRI-0090,Haryana,D1,Rice,Kharif,Sandy,550.0,35.09,73.14,22.38,94.37,26.12,90.1,6.68,0.833,0.153,25.02963,81.32367,3.72,8.23,Healthy
AGRI-0091,Madhya Pradesh,D3,Soybean,Zaid,Sandy,823.38,31.66,37.18,17.77,59.27,79.12,157.43,5.65,0.681,0.346,13.52826,75.30639,7.54,5.89,Moderate
AGRI-0092,Maharashtra,D4,Soybean,Rabi,Alluvial,532.05,19.05,81.17,31.6,76.4,35.71,136.35,6.02,0.83,0.427,17.94744,69.18806,7.94,6.97,Healthy
AGRI-0093,Haryana,D1,Cotton,Zaid,Silty,1127.26,33.66,59.65,31.16,94.33,89.17,147.64,7.72,0.738,0.377,8.78871,84.60146,4.45,6.36,Moderate
AGRI-0094,Tamil Nadu,D2,Cotton,Rabi,Silty,938.88,34.91,70.02,14.73,125.63,22.62,55.61,8.13,0.607,0.64,11.26178,71.41808,2.66,5.69,Moderate
AGRI-0095,Tamil Nadu,D3,Cotton,Kharif,Black Soil,1048.86,33.98,47.17,37.14,47.9,51.31,128.15,7.54,0.261,0.644,15.67465,75.44517,6.43,4.04,Poor
AGRI-0096,Tamil Nadu,D2,Rice,Zaid,Alluvial,566.14,28.17,72.24,34.46,116.25,73.43,57.17,6.63,0.384,0.593,16.20766,80.00709,1.69,8.63,Moderate
AGRI-0097,Haryana,D2,Cotton,Zaid,Sandy,582.92,22.66,77.47,18.8,121.65,44.61,49.22,5.3,0.858,0.325,29.59005,77.64507,2.39,5.79,Healthy
AGRI-0098,Maharashtra,D3,Rice,Zaid,Clay,395.65,34.91,61.03,28.9,93.75,47.45,152.2,5.2,0.404,0.53,25.80351,71.97321,6.39,7.38,Poor
AGRI-0099,Tamil Nadu,D2,Cotton,Rabi,Black Soil,704.27,32.54,68.97,37.93,122.44,88.91,22.7,6.31,0.245,0.337,31.33239,70.81233,3.75,5.0,Moderate
AGRI-0100,Karnataka,D3,Sugarcane,Rabi,Clay,965.72,37.62,60.1,31.06,63.77,44.02,155.15,6.62,0.675,0.24,22.37772,70.46493,2.01,10.5,Moderate
AGRI-0101,Rajasthan,D1,Soybean,Kharif,Silty,1293.73,21.11,84.18,26.24,124.83,58.33,40.9,7.13,0.694,0.306,13.80113,85.26016,5.38,7.61,Healthy
AGRI-0102,Haryana,D3,Cotton,Rabi,Black Soil,1083.62,22.51,62.38,23.6,97.31,14.36,134.72,5.02,0.38,0.143,15.86372,68.63119,6.0,5.37,Poor
AGRI-0103,Haryana,D3,Wheat,Rabi,Black Soil,828.94,22.24,81.3,33.97,24.62,77.38,58.63,8.46,0.388,0.299,15.67606,87.54029,1.44,5.86,Poor
AGRI-0104,Maharashtra,D4,Soybean,Kharif,Loam,1398.43,33.85,79.07,45.81,119.76,61.85,69.1,6.27,0.508,0.376,15.83586,71.97057,2.58,6.41,Moderate
AGRI-0105,Haryana,D3,Soybean,Zaid,Silty,1141.17,21.74,57.58,36.18,73.29,42.32,50.35,7.97,0.195,0.673,24.15114,70.20645,2.16,5.46,Poor
AGRI-0106,Haryana,D3,Cotton,Zaid,Silty,1373.18,19.33,47.65,14.69,70.64,11.29,101.97,6.87,0.733,0.288,20.73939,79.53943,3.35,5.74,Moderate
AGRI-0107,Tamil Nadu,D1,Maize,Kharif,Alluvial,930.35,37.97,57.33,28.58,82.31,57.33,68.73,5.46,0.402,0.641,17.25018,69.59972,6.23,6.81,Poor
AGRI-0108,Maharashtra,D4,Cotton,Zaid,Black Soil,634.79,18.5,80.44,44.07,36.43,11.01,112.04,7.79,0.778,0.237,11.57815,80.04907,5.85,5.4,Healthy
AGRI-0109,Tamil Nadu,D5,Soybean,Rabi,Silty,408.11,34.7,47.52,15.4,71.61,10.1,22.19,7.48,0.742,0.215,8.53134,85.01253,5.47,5.14,Moderate
AGRI-0110,Rajasthan,D1,Wheat,Kharif,Black Soil,1148.69,25.31,63.84,47.6,111.42,59.29,29.01,6.85,0.643,0.411,13.25203,68.95796,0.55,9.51,Healthy
AGRI-0111,Madhya Pradesh,D1,Soybean,Kharif,Alluvial,483.43,34.83,79.34,46.17,21.7,25.12,33.95,6.8,0.407,0.504,10.57931,83.99737,1.57,5.19,Moderate
AGRI-0112,Rajasthan,D5,Wheat,Kharif,Alluvial,683.05,29.09,54.44,14.82,50.02,25.35,78.66,5.31,0.541,0.127,26.85068,75.88955,2.17,6.19,Poor
AGRI-0113,Madhya Pradesh,D3,Rice,Zaid,Loam,935.72,36.03,70.32,45.6,20.27,62.26,134.07,7.3,0.491,0.233,10.69995,71.18981,2.54,7.79,Moderate
AGRI-0114,Tamil Nadu,D2,Sugarcane,Kharif,Black Soil,970.86,36.52,48.51,25.07,65.73,14.3,144.34,8.19,0.417,0.373,25.38148,71.52193,1.6,7.48,Poor
AGRI-0115,Rajasthan,D4,Soybean,Kharif,Silty,1010.64,18.18,41.01,42.41,100.11,35.07,54.27,5.33,0.774,0.299,17.25581,86.37529,3.58,6.78,Moderate
AGRI-0116,Maharashtra,D2,Cotton,Kharif,Silty,532.88,19.51,78.69,27.06,107.86,21.95,100.41,5.92,0.518,0.528,9.76108,70.21212,1.06,4.2,Moderate
AGRI-0117,Punjab,D5,Rice,Zaid,Black Soil,767.71,23.01,40.44,27.87,123.97,56.41,127.57,8.16,0.763,0.407,27.50552,85.33566,6.13,10.77,Moderate
AGRI-0118,Tamil Nadu,D1,Sugarcane,Rabi,Black Soil,1028.91,31.39,49.93,34.83,86.94,62.94,60.44,6.0,0.254,0.196,21.91113,78.88489,6.41,8.09,Poor
AGRI-0119,Madhya Pradesh,D1,Cotton,Kharif,Black Soil,1416.8,35.77,82.03,39.88,48.01,67.69,77.26,7.29,0.279,0.637,13.65828,68.78112,4.81,4.76,Poor
AGRI-0120,Karnataka,D4,Maize,Rabi,Sandy,1150.39,27.2,54.06,13.22,121.66,30.42,93.36,6.87,0.864,0.276,29.47235,77.28952,1.17,9.12,Healthy
AGRI-0121,Madhya Pradesh,D1,Cotton,Zaid,Silty,1364.86,30.14,88.52,33.35,105.28,17.14,38.88,7.09,0.591,0.539,9.0862,84.34899,7.18,6.19,Healthy
AGRI-0122,Karnataka,D1,Wheat,Zaid,Alluvial,1188.43,21.77,88.89,18.72,83.19,16.29,23.64,6.46,0.537,0.568,12.84367,82.52406,7.74,6.55,Moderate
AGRI-0123,Haryana,D4,Wheat,Zaid,Silty,1000.89,34.1,49.76,24.45,96.52,44.09,41.39,6.05,0.546,0.678,26.04913,77.77565,2.02,6.89,Moderate
AGRI-0124,Rajasthan,D4,Maize,Zaid,Sandy,561.23,37.35,37.25,24.53,121.67,85.67,107.76,5.17,0.331,0.399,25.02507,85.201,5.78,5.19,Poor
AGRI-0125,Karnataka,D5,Rice,Rabi,Black Soil,1083.35,23.37,73.78,28.89,98.36,27.42,30.31,7.6,0.683,0.47,14.94252,70.4073,6.81,9.04,Healthy
AGRI-0126,Madhya Pradesh,D1,Sugarcane,Kharif,Loam,1035.72,27.9,59.8,24.03,60.52,30.54,46.56,7.61,0.239,0.301,9.4886,86.19882,4.55,7.82,Poor
AGRI-0127,Haryana,D1,Cotton,Zaid,Black Soil,1012.72,19.72,40.54,15.87,98.43,18.07,67.3,7.35,0.581,0.507,28.59387,84.92882,2.92,4.65,Moderate
AGRI-0128,Punjab,D5,Wheat,Zaid,Black Soil,888.76,29.18,73.91,17.24,24.43,58.45,30.9,7.25,0.58,0.378,15.52874,82.16554,4.09,7.0,Moderate
AGRI-0129,Maharashtra,D3,Rice,Rabi,Sandy,931.52,28.06,36.71,13.2,62.51,64.39,46.84,5.85,0.82,0.363,12.69712,84.35775,4.34,9.17,Moderate
AGRI-0130,Maharashtra,D3,Maize,Rabi,Silty,717.89,20.89,82.86,28.93,64.7,61.43,147.58,5.08,0.548,0.613,20.38548,78.87631,3.5,6.22,Moderate
AGRI-0131,Maharashtra,D3,Soybean,Zaid,Black Soil,921.24,26.84,42.63,46.36,38.35,78.89,22.7,7.83,0.276,0.13,29.84545,81.50325,7.47,5.34,Moderate
AGRI-0132,Karnataka,D5,Wheat,Kharif,Silty,567.31,24.68,42.0,16.16,22.54,48.91,111.48,6.72,0.581,0.629,9.04512,79.21196,6.08,6.95,Moderate
AGRI-0133,Punjab,D1,Maize,Kharif,Clay,1235.69,28.44,44.66,46.07,34.67,20.76,73.82,6.07,0.244,0.611,26.3793,75.10857,2.31,6.51,Moderate
AGRI-0134,Karnataka,D5,Cotton,Zaid,Alluvial,554.35,29.71,87.81,38.4,92.01,33.15,114.17,5.36,0.323,0.404,21.73936,79.37722,4.89,4.8,Moderate
AGRI-0135,Rajasthan,D5,Sugarcane,Rabi,Silty,443.46,18.17,73.12,34.95,108.25,62.99,102.42,5.22,0.202,0.394,18.21078,73.14931,5.67,6.79,Poor
AGRI-0136,Karnataka,D3,Wheat,Zaid,Loam,829.87,33.22,79.08,35.23,128.7,59.05,51.29,6.22,0.539,0.317,25.85793,76.80558,1.55,7.91,Moderate
AGRI-0137,Punjab,D2,Wheat,Zaid,Alluvial,1074.14,32.26,56.87,41.76,58.1,52.48,138.61,7.82,0.239,0.697,31.17979,73.61551,3.19,6.41,Poor
AGRI-0138,Punjab,D1,Cotton,Rabi,Loam,831.49,25.33,53.5,15.85,85.93,64.64,88.87,8.22,0.509,0.167,13.50095,70.45776,7.29,5.85,Moderate
AGRI-0139,Rajasthan,D3,Soybean,Zaid,Black Soil,654.43,19.06,47.9,30.17,123.09,60.99,135.16,8.14,0.833,0.454,11.44754,74.43724,4.75,7.26,Moderate
AGRI-0140,Punjab,D2,Rice,Zaid,Alluvial,963.99,33.1,61.44,37.1,38.37,80.51,76.84,8.22,0.684,0.509,29.90916,85.03974,2.13,9.57,Moderate
AGRI-0141,Madhya Pradesh,D2,Sugarcane,Zaid,Silty,731.7,37.1,65.35,33.13,98.94,56.88,157.86,8.18,0.234,0.661,24.05487,75.62162,1.42,7.78,Poor
AGRI-0142,Punjab,D4,Wheat,Rabi,Alluvial,1376.15,22.8,69.75,41.98,103.05,72.29,127.87,6.85,0.337,0.568,18.51166,82.96007,4.39,7.6,Moderate
AGRI-0143,Maharashtra,D1,Sugarcane,Kharif,Black Soil,1364.91,24.47,49.14,14.6,29.79,29.9,155.23,5.77,0.652,0.486,21.75823,71.50396,4.61,11.64,Moderate
